,index_t,Series,Release Year,IMDB Rating,Genre,Director,Stars,soup
5633,Tenko - (1981 - 1984),Tenko,(1981 - 1984),8.6,"Drama, History, War",Unavailable,"Ann Bell, phanie Col, Claire Oberman, Emily Bolton","Drama, History, War, Unavailable, Ann Bell, phanie Col, Claire Oberman, Emily Bolton"
5634,Garden Rescue - (2016 -  ),Garden Rescue,(2016 -  ),8.2,Reality-TV,Unavailable,"avid Rich, Harry Rich, Charlie Dimmock, Lucinda Lawren","Reality-TV, Unavailable, avid Rich, Harry Rich, Charlie Dimmock, Lucinda Lawren"
5635,Callan - (1967 - 1972),Callan,(1967 - 1972),8.3,"Crime, Drama, Mystery",Unavailable,"Edward Woodward, Russell Hun, Lisa Langdon, Anthony Valentin","Crime, Drama, Mystery, Unavailable, Edward Woodward, Russell Hun, Lisa Langdon, Anthony Valentin"
5636,The Suite Life of Karan & Kabir - (2012 -  ),The Suite Life of Karan & Kabir,(2012 -  ),7.3,"Comedy, Drama",Unavailable,"Namit Shah, ddharth Thakk, hivshakti Sachdev, hruti Seth","Comedy, Drama, Unavailable, Namit Shah, ddharth Thakk, hivshakti Sachdev, hruti Seth"
5637,Top Shot - (2010 -  ),Top Shot,(2010 -  ),7.6,"Reality-TV, Sport",Unavailable,"Colby Donaldson, Jamie Frank, Joe Serafin, Brian Zin","Reality-TV, Sport, Unavailable, Colby Donaldson, Jamie Frank, Joe Serafin, Brian Zin"
5638,Hotel Impossible - (2012 - 2017),Hotel Impossible,(2012 - 2017),7.8,Reality-TV,Unavailable,"Anthony Melch, Blanche Ga, Casey Nobl, Carrie Locklyn","Reality-TV, Unavailable, Anthony Melch, Blanche Ga, Casey Nobl, Carrie Locklyn"
5639,Werq the World - (2019 -  ),Werq the World,(2019 -  ),7.5,Reality-TV,Unavailable,"Aaron Coady, James Leyv, Giovanni Palandran, "".J. Shangela P""","Reality-TV, Unavailable, Aaron Coady, James Leyv, Giovanni Palandran, "".J. Shangela P"""
5640,Bullets - (2018 -  ),Bullets,(2018 -  ),6.3,"Crime, Drama, Thriller",Unavailable,"Krista Kosonen, bel Kekill, Tommi Korpel, Jani Volanen","Crime, Drama, Thriller, Unavailable, Krista Kosonen, bel Kekill, Tommi Korpel, Jani Volanen"
5641,Malibu Country - (2012 - 2013),Malibu Country,(2012 - 2013),6.0,Comedy,Unavailable,"Reba McEn, Ru, Justin Pren, Juliette Angel","Comedy, Unavailable, Reba McEn, Ru, Justin Pren, Juliette Angel"
5642,Dertigers - (2019 -  ),Dertigers,(2019 -  ),7.4,Drama,Unavailable,"Truus de B, Yannick De C, Tom Dingenen, Kristof Goffin","Drama, Unavailable, Truus de B, Yannick De C, Tom Dingenen, Kristof Goffin"
5643,Nobody Knows - 2020,Nobody Knows,2020,8.2,"Crime, Drama, Mystery",Unavailable,#NAME?,"Crime, Drama, Mystery, Unavailable, -hyeong Kim, k-Hwan Ryu, Park Hoon, Ji-ho Ahn"
5644,Spider-Man Unlimited - (1999 - 2005),Spider-Man Unlimited,(1999 - 2005),6.5,"Action, Family, Adventure",Unavailable,"Rino Roman, Kathleen B, Paul Dobson, Akiko Morison","Action, Family, Adventure, Unavailable, Rino Roman, Kathleen B, Paul Dobson, Akiko Morison"
5645,Five Points - (2018 -  ),Five Points,(2018 -  ),6.8,Drama,Unavailable,"Madison P, Nathaniel J. Potvin, Hayley Kiyok, Raymond Cham Jr.","Drama, Unavailable, Madison P, Nathaniel J. Potvin, Hayley Kiyok, Raymond Cham Jr."
5646,Mr. Hiiragi's Homeroom - (2019 -  ),Mr. Hiiragi's Homeroom,(2019 -  ),7.4,"Drama, Mystery",Unavailable,"Masaki Sud, Mei Nagan, Ryôta Katay, Rina Kaw","Drama, Mystery, Unavailable, Masaki Sud, Mei Nagan, Ryôta Katay, Rina Kaw"
5647,Strike the Blood - (2013 -  ),Strike the Blood,(2013 -  ),7.1,"Animation, Action, Comedy",Unavailable,"Franciska Fried, Yoshimasa Hosoy, Risa Taned, Asam","Animation, Action, Comedy, Unavailable, Franciska Fried, Yoshimasa Hosoy, Risa Taned, Asam"
5648,The Bachelor Presents: Listen to Your Heart - (2020 -  ),The Bachelor Presents: Listen to Your Heart,(2020 -  ),4.9,"Drama, Game-Show, Music",Unavailable,"Chris Harrison, Jamie Gabriell, Matt Ranaud, Bri Stau","Drama, Game-Show, Music, Unavailable, Chris Harrison, Jamie Gabriell, Matt Ranaud, Bri Stau"
5649,Star Blazers - (1979 -  ),Star Blazers,(1979 -  ),8.3,"Animation, Action, Adventure",Unavailable,"Eddie Allen, Michael Bertolin, Amy Howard Wilson, Lydia Leed","Animation, Action, Adventure, Unavailable, Eddie Allen, Michael Bertolin, Amy Howard Wilson, Lydia Leed"
5650,Baroness Von Sketch Show - (2016 -  ),Baroness Von Sketch Show,(2016 -  ),5.8,Comedy,Unavailable,"Carolyn Tayl, Meredith MacNeill, Aurora Brown, Jennifer Whalen","Comedy, Unavailable, Carolyn Tayl, Meredith MacNeill, Aurora Brown, Jennifer Whalen"
5651,The Border - (2008 - 2010),The Border,(2008 - 2010),6.9,"Action, Crime, Drama",Unavailable,"James McGowan, Graham Abbey, Jonas Chernick, Mark Wilson","Action, Crime, Drama, Unavailable, James McGowan, Graham Abbey, Jonas Chernick, Mark Wilson"
5652,The Colony - (2009 -  ),The Colony,(2009 -  ),7.8,Reality-TV,Unavailable,"Michael Rain, Joey Scia, John Valen, Becka Adam","Reality-TV, Unavailable, Michael Rain, Joey Scia, John Valen, Becka Adam"
5653,Jumanji - (1996 - 1999),Jumanji,(1996 - 1999),6.4,"Animation, Action, Adventure",Unavailable,"Bill Fagerbakk, bi Derryberry, Ashley Johnson, Melanie Chartoff","Animation, Action, Adventure, Unavailable, Bill Fagerbakk, bi Derryberry, Ashley Johnson, Melanie Chartoff"
5654,Naked and Afraid: Uncensored - (2013 -  ),Naked and Afraid: Uncensored,(2013 -  ),3.8,Reality-TV,Unavailable,Unavailable,"Reality-TV, Unavailable, Unavailable"
5655,Amy Schumer Learns to Cook - (2020 -  ),Amy Schumer Learns to Cook,(2020 -  ),5.2,Unavailable,Unavailable,"Chris Fisch, Amy Schum, Kim Caramel, Jennifer Lawren","Unavailable, Unavailable, Chris Fisch, Amy Schum, Kim Caramel, Jennifer Lawren"
5656,The Hardy Boys - (2020 -  ),The Hardy Boys,(2020 -  ),,Mystery,Unavailable,"Rohan Campbell, Jennifer Hsiung, Keana Lyn, ""Riley ODonnell""","Mystery, Unavailable, Rohan Campbell, Jennifer Hsiung, Keana Lyn, ""Riley ODonnell"""
5657,The Cheat - (2017 -  ),The Cheat,(2017 -  ),8.9,"Action, Drama, Sci-Fi",Unavailable,"Taha Ulukay, Taner Sahin, Andac Ulukay, Neslihan Ulusoy","Action, Drama, Sci-Fi, Unavailable, Taha Ulukay, Taner Sahin, Andac Ulukay, Neslihan Ulusoy"
5658,Cacciatore - The Hunter - (2018 -  ),Cacciatore - The Hunter,(2018 -  ),7.4,"Action, Crime, Drama",Unavailable,"Francesco Montan, Miriam Dalmaz, Edoardo P, Francesco F","Action, Crime, Drama, Unavailable, Francesco Montan, Miriam Dalmaz, Edoardo P, Francesco F"
5659,Mr. D - (2012 -  ),Mr. D,(2012 -  ),6.5,Comedy,Unavailable,"Gerry, Jonathan Torren, Lauren Hammersley, Bette MacDonald","Comedy, Unavailable, Gerry, Jonathan Torren, Lauren Hammersley, Bette MacDonald"
5660,Paranormal 911 - (2019 -  ),Paranormal 911,(2019 -  ),6.7,Horror,Unavailable,"Martin Yap, Christopher Allen Brew, Morgan Knudsen, Mark Key","Horror, Unavailable, Martin Yap, Christopher Allen Brew, Morgan Knudsen, Mark Key"
5661,Late Night with Conan O'Brien - (1993 - 2009),Late Night with Conan O'Brien,(1993 - 2009),8.1,"Comedy, Music, Talk-Show",Unavailable,"""Conan OBrien"", Andy Rich, Joel Godard, Max Weinberg","Comedy, Music, Talk-Show, Unavailable, ""Conan OBrien"", Andy Rich, Joel Godard, Max Weinberg"
5662,Pistols 'n' Petticoats - (1966 - 1967),Pistols 'n' Petticoats,(1966 - 1967),7.2,"Comedy, Western",Unavailable,"Ann Sheridan, Ruth McDev, uglas Fowley, Gary Vinson","Comedy, Western, Unavailable, Ann Sheridan, Ruth McDev, uglas Fowley, Gary Vinson"
5663,Neste Sommer - (2014 -  ),Neste Sommer,(2014 -  ),7.6,Comedy,Unavailable,"Trond Fau, Janne Form, Eivind Sand, Pia Tjel","Comedy, Unavailable, Trond Fau, Janne Form, Eivind Sand, Pia Tjel"
5664,Nobodies - (I) (2017 -  ),Nobodies,(I) (2017 -  ),5.5,Comedy,Unavailable,"Hugh Davidson, Larry Dorf, Rachel Ram, Jill Matson-Sachoff","Comedy, Unavailable, Hugh Davidson, Larry Dorf, Rachel Ram, Jill Matson-Sachoff"
5665,Jennifer Falls - 2014,Jennifer Falls,2014,5.8,Comedy,Unavailable,"Jaime Pressly, Missi Pyl, Ethan Supl, Nora Kirkpatrick","Comedy, Unavailable, Jaime Pressly, Missi Pyl, Ethan Supl, Nora Kirkpatrick"
5666,Take Us Home: Leeds United - (2019 -  ),Take Us Home: Leeds United,(2019 -  ),8.1,Documentary,Unavailable,"Russell Crow, Ezgjan Aliosk, Luke Ayling, Patrick Bamford","Documentary, Unavailable, Russell Crow, Ezgjan Aliosk, Luke Ayling, Patrick Bamford"
5667,The Cowboy Way: Alabama - (2016 -  ),The Cowboy Way: Alabama,(2016 -  ),7.3,Reality-TV,Unavailable,"Booger Brown, Cody H, Bubba Thompson","Reality-TV, Unavailable, Booger Brown, Cody H, Bubba Thompson"
5668,Dr. Pimple Popper - (2018 -  ),Dr. Pimple Popper,(2018 -  ),6.6,"Short, Reality-TV",Unavailable,"ndra L, Lucinda Buesch, Kevin Ola","Short, Reality-TV, Unavailable, ndra L, Lucinda Buesch, Kevin Ola"
5669,The Last Alaskans - (2015 -  ),The Last Alaskans,(2015 -  ),8.5,Reality-TV,Unavailable,"Bob H, Edna Korth, Heimo Korth, Ray Lew","Reality-TV, Unavailable, Bob H, Edna Korth, Heimo Korth, Ray Lew"
5670,Hot Date - (2017 -  ),Hot Date,(2017 -  ),7.0,Comedy,Unavailable,"Emily Axford, Brian Murphy, Carisa Ba, Tien Tran","Comedy, Unavailable, Emily Axford, Brian Murphy, Carisa Ba, Tien Tran"
5671,Bibleman - (1995 -  ),Bibleman,(1995 -  ),2.7,"Family, Sci-Fi",Unavailable,"Brady William, Willie Aam, Maylo McCaslin, Heather McSmith","Family, Sci-Fi, Unavailable, Brady William, Willie Aam, Maylo McCaslin, Heather McSmith"
5672,Edha - (2018 -  ),Edha,(2018 -  ),4.7,Drama,Unavailable,"Brian Beacock, Heinz K. Krattig, Tomás Sal, Philippe Lecuy","Drama, Unavailable, Brian Beacock, Heinz K. Krattig, Tomás Sal, Philippe Lecuy"
5673,Inazuma Eleven - (2008 - 2011),Inazuma Eleven,(2008 - 2011),7.9,"Animation, Action, Adventure",Unavailable,"Michael C. Pizzu,  Evan, Hirofumi Nojim, Hiroyuki Yoshin","Animation, Action, Adventure, Unavailable, Michael C. Pizzu,  Evan, Hirofumi Nojim, Hiroyuki Yoshin"
5674,Pimp My Ride - (2004 - 2007),Pimp My Ride,(2004 - 2007),5.7,Reality-TV,Unavailable,"Xzib, Beau Boeckmann, Mad Mik, Toy Holm","Reality-TV, Unavailable, Xzib, Beau Boeckmann, Mad Mik, Toy Holm"
5675,Caronte - (2020 -  ),Caronte,(2020 -  ),6.9,"Action, Adventure, Crime",Unavailable,"Roberto Álam, Miriam Giovanell, Raúl Tejón, Álex Villazán","Action, Adventure, Crime, Unavailable, Roberto Álam, Miriam Giovanell, Raúl Tejón, Álex Villazán"
5676,Sword Gai: The Animation - 2018,Sword Gai: The Animation,2018,5.9,"Animation, Fantasy, Horror",Unavailable,"Zach Aguil, Khoi , Richard Ep, Jessica Gee-Georg","Animation, Fantasy, Horror, Unavailable, Zach Aguil, Khoi , Richard Ep, Jessica Gee-Georg"
5677,Kasak - (2020 -  ),Kasak,(2020 -  ),5.6,Drama,Unavailable,"Ihana Dhillon, Minissha Lamb, Priya Marath, Vineet Rain","Drama, Unavailable, Ihana Dhillon, Minissha Lamb, Priya Marath, Vineet Rain"
5678,The Naked Truth - (1995 - 1998),The Naked Truth,(1995 - 1998),6.8,Comedy,Unavailable,"Téa Leon, Holland Tayl, Mark Rob, yl Sivad","Comedy, Unavailable, Téa Leon, Holland Tayl, Mark Rob, yl Sivad"
5679,My Ordinary Life - 2011,My Ordinary Life,2011,8.3,"Animation, Comedy",Unavailable,"hizuka Furuy, Hiromi Konn, Mariko Hond, Minoru Shiraish","Animation, Comedy, Unavailable, hizuka Furuy, Hiromi Konn, Mariko Hond, Minoru Shiraish"
5680,Great Queen Seonduk - 2009,Great Queen Seonduk,2009,8.8,"Biography, Drama, History",Unavailable,"Woong-in Jeong, Jeong-hyeon Kim, m Ryu, Yo-won L","Biography, Drama, History, Unavailable, Woong-in Jeong, Jeong-hyeon Kim, m Ryu, Yo-won L"
5681,Popeye the Sailor - (1960 - 1962),Popeye the Sailor,(1960 - 1962),7.1,"Animation, Comedy, Family",Unavailable,"Jack M, Mae Questel, Jackson Beck","Animation, Comedy, Family, Unavailable, Jack M, Mae Questel, Jackson Beck"
5682,Listeners - 2020,Listeners,2020,5.8,"Animation, Adventure, Music",Unavailable,"Bryn Apprill, Justin Brin, Lee Georg, Mikaela Krantz","Animation, Adventure, Music, Unavailable, Bryn Apprill, Justin Brin, Lee Georg, Mikaela Krantz"
5683,Guilt - 2016,Guilt,2016,6.0,"Crime, Drama, Mystery",Unavailable,"aisy Head, Emily Tremain, Cristian Solimen, Naomi Ryan","Crime, Drama, Mystery, Unavailable, aisy Head, Emily Tremain, Cristian Solimen, Naomi Ryan"
5684,Young Wallander - (2020 -  ),Young Wallander,(2020 -  ),,Crime,Unavailable,"Adam Pålsson, Leanne B, Richard Dillan, Ellise Chappell","Crime, Unavailable, Adam Pålsson, Leanne B, Richard Dillan, Ellise Chappell"
5685,QB1: Beyond the Lights - (2017 -  ),QB1: Beyond the Lights,(2017 -  ),7.8,"Documentary, Sport",Unavailable,"Tayvon Bow, Jake Fromm, Tate Martell, Justin Field","Documentary, Sport, Unavailable, Tayvon Bow, Jake Fromm, Tate Martell, Justin Field"
5686,Pramface - (2012 - 2014),Pramface,(2012 - 2014),7.6,Comedy,Unavailable,"an Verey, arlett Alice Johnson, Yasmin Paig, ylan Edward","Comedy, Unavailable, an Verey, arlett Alice Johnson, Yasmin Paig, ylan Edward"
5687,Konak kod Hilmije - (2018 -  ),Konak kod Hilmije,(2018 -  ),7.0,"Comedy, History, War",Unavailable,"Emir Hadzihafizbegov, Tarik Filipov, Igor Skva, Ilir Taf","Comedy, History, War, Unavailable, Emir Hadzihafizbegov, Tarik Filipov, Igor Skva, Ilir Taf"
5688,Twenty Twelve - (2011 - 2012),Twenty Twelve,(2011 - 2012),7.8,Comedy,Unavailable,"Hugh Bonnevill, Amelia Bullm, Jessica Hyn, Karl Theobald","Comedy, Unavailable, Hugh Bonnevill, Amelia Bullm, Jessica Hyn, Karl Theobald"
