,index_t,Series,Release Year,IMDB Rating,Genre,Director,Stars,soup
0,Dark - (2017 - 2020),Dark,(2017 - 2020),8.8,"Crime, Drama, Mystery",Unavailable,"Louis Hofmann, Karoline Eichhorn, Lisa V, Maja Schön","Crime, Drama, Mystery, Unavailable, Louis Hofmann, Karoline Eichhorn, Lisa V, Maja Schön"
1,The Sinner - (2017 -  ),The Sinner,(2017 -  ),8.0,"Crime, Drama, Mystery",Unavailable,"Bill Pullman, hn Norwood, Adam LeFev, Jessica Biel","Crime, Drama, Mystery, Unavailable, Bill Pullman, hn Norwood, Adam LeFev, Jessica Biel"
2,Perry Mason - (2020 -  ),Perry Mason,(2020 -  ),7.1,"Crime, Drama",Unavailable,"Matthew Rhy, Juliet Rylan, Tatiana Maslany, Rachel Boulw","Crime, Drama, Unavailable, Matthew Rhy, Juliet Rylan, Tatiana Maslany, Rachel Boulw"
3,The Order - (2019 -  ),The Order,(2019 -  ),6.9,"Drama, Fantasy, Horror",Unavailable,"Jake Manley, h Grey, Adam DiM, Katharine Isabell","Drama, Fantasy, Horror, Unavailable, Jake Manley, h Grey, Adam DiM, Katharine Isabell"
4,The Politician - (2019 -  ),The Politician,(2019 -  ),7.5,"Comedy, Drama",Unavailable,"Ben Pl, Zoey Deutch, Lucy Boynton, Julia Schlaepf","Comedy, Drama, Unavailable, Ben Pl, Zoey Deutch, Lucy Boynton, Julia Schlaepf"
5,Yellowstone - (2018 -  ),Yellowstone,(2018 -  ),8.4,"Drama, Western",Unavailable,"Kevin Costn, Luke Grim, Kelly Reilly, Wes Bentley","Drama, Western, Unavailable, Kevin Costn, Luke Grim, Kelly Reilly, Wes Bentley"
6,Game of Thrones - (2011 - 2019),Game of Thrones,(2011 - 2019),9.3,"Action, Adventure, Drama",Unavailable,"Emilia Clark, Peter Dinklag, Kit Harington, Lena Headey","Action, Adventure, Drama, Unavailable, Emilia Clark, Peter Dinklag, Kit Harington, Lena Headey"
7,13 Reasons Why - (2017 - 2020),13 Reasons Why,(2017 - 2020),7.7,"Drama, Mystery",Unavailable,"ylan Minn, Katherine Langford, Christian Nav, Alisha B","Drama, Mystery, Unavailable, ylan Minn, Katherine Langford, Christian Nav, Alisha B"
8,Community - (2009 - 2015),Community,(2009 - 2015),8.5,Comedy,Unavailable,"Joel McHal, nny Pud, nald Glov, Chevy Ch","Comedy, Unavailable, Joel McHal, nny Pud, nald Glov, Chevy Ch"
9,The Office - (2005 - 2013),The Office,(2005 - 2013),8.9,Comedy,Unavailable,"ve Carell, Jenna Fisch, John Krasinsk, Rainn Wilson","Comedy, Unavailable, ve Carell, Jenna Fisch, John Krasinsk, Rainn Wilson"
10,The 100 - (2014 -  ),The 100,(2014 -  ),7.7,"Drama, Mystery, Sci-Fi",Unavailable,"Eliza Tayl, Bob Morley, Marie Avgeropoul, Isaiah Washington","Drama, Mystery, Sci-Fi, Unavailable, Eliza Tayl, Bob Morley, Marie Avgeropoul, Isaiah Washington"
11,Grey's Anatomy - (2005 -  ),Grey's Anatomy,(2005 -  ),7.6,"Drama, Romance",Unavailable,"Ellen Pomp, Chandra Wilson, James Pickens Jr., Justin Chamb","Drama, Romance, Unavailable, Ellen Pomp, Chandra Wilson, James Pickens Jr., Justin Chamb"
12,Supernatural - (2005 - 2020),Supernatural,(2005 - 2020),8.4,"Drama, Fantasy, Horror",Unavailable,"Jared Padaleck, Jensen Ackl, Jim Beav, Misha Collin","Drama, Fantasy, Horror, Unavailable, Jared Padaleck, Jensen Ackl, Jim Beav, Misha Collin"
13,Breaking Bad - (2008 - 2013),Breaking Bad,(2008 - 2013),9.5,"Crime, Drama, Thriller",Unavailable,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brand","Crime, Drama, Thriller, Unavailable, Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brand"
14,Vikings - (2013 -  ),Vikings,(2013 -  ),8.5,"Action, Adventure, Drama",Unavailable,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia H","Action, Adventure, Drama, Unavailable, Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia H"
15,Snowpiercer - (2020 -  ),Snowpiercer,(2020 -  ),6.4,"Action, Drama, Sci-Fi",Unavailable,"Jennifer Connelly, veed Digg, Mickey Sumn, Alison Wrigh","Action, Drama, Sci-Fi, Unavailable, Jennifer Connelly, veed Digg, Mickey Sumn, Alison Wrigh"
16,Doom Patrol - (2019 -  ),Doom Patrol,(2019 -  ),8.0,"Action, Adventure, Comedy",Unavailable,"ane Gu, April Bowlby, Matt Bom, Brendan F","Action, Adventure, Comedy, Unavailable, ane Gu, April Bowlby, Matt Bom, Brendan F"
17,Lucifer - (2015 -  ),Lucifer,(2015 -  ),8.2,"Crime, Drama, Fantasy",Unavailable,"Tom Ell, Lauren German, Kevin Alejand, Lesley-Ann Brand","Crime, Drama, Fantasy, Unavailable, Tom Ell, Lauren German, Kevin Alejand, Lesley-Ann Brand"
18,Billions - (2016 -  ),Billions,(2016 -  ),8.4,Drama,Unavailable,"Paul Giam, mian Lew, Maggie Siff, vid Costabil","Drama, Unavailable, Paul Giam, mian Lew, Maggie Siff, vid Costabil"
19,"Love, Victor - (2020 -  )","Love, Victor",(2020 -  ),8.2,"Comedy, Drama, Romance",Unavailable,"Michael Cimin, Rachel Hilson, Anthony Turpel, Bebe Wood","Comedy, Drama, Romance, Unavailable, Michael Cimin, Rachel Hilson, Anthony Turpel, Bebe Wood"
20,Ozark - (2017 -  ),Ozark,(2017 -  ),8.4,"Crime, Drama, Thriller",Unavailable,"Jason Bateman, Laura Linney, fia Hublitz, kylar Gaertn","Crime, Drama, Thriller, Unavailable, Jason Bateman, Laura Linney, fia Hublitz, kylar Gaertn"
21,Hannibal - (2013 - 2015),Hannibal,(2013 - 2015),8.5,"Crime, Drama, Horror",Unavailable,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavern, Laurence Fishburn","Crime, Drama, Horror, Unavailable, Hugh Dancy, Mads Mikkelsen, Caroline Dhavern, Laurence Fishburn"
22,The Walking Dead - (2010 -  ),The Walking Dead,(2010 -  ),8.2,"Drama, Horror, Thriller",Unavailable,"Andrew Lincoln, Norman Reedu, Melissa McBrid, nai Gu","Drama, Horror, Thriller, Unavailable, Andrew Lincoln, Norman Reedu, Melissa McBrid, nai Gu"
23,Modern Family - (2009 - 2020),Modern Family,(2009 - 2020),8.4,"Comedy, Drama, Romance",Unavailable,"""Ed ONeill"", fía Verg, Julie Bowen, Ty Burrell","Comedy, Drama, Romance, Unavailable, ""Ed ONeill"", fía Verg, Julie Bowen, Ty Burrell"
24,Avatar: The Last Airbender - (2005 - 2008),Avatar: The Last Airbender,(2005 - 2008),9.2,"Animation, Action, Adventure",Unavailable,"Zach Tyl, Jack De Sen, Bradley Bak, Mae Whitman","Animation, Action, Adventure, Unavailable, Zach Tyl, Jack De Sen, Bradley Bak, Mae Whitman"
25,Money Heist - (2017 -  ),Money Heist,(2017 -  ),8.4,"Action, Crime, Mystery",Unavailable,"Úrsula Corberó, Álvaro M, Itziar Ituñ, Pedro Alon","Action, Crime, Mystery, Unavailable, Úrsula Corberó, Álvaro M, Itziar Ituñ, Pedro Alon"
26,Friends - (1994 - 2004),Friends,(1994 - 2004),8.9,"Comedy, Romance",Unavailable,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlan","Comedy, Romance, Unavailable, Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlan"
27,Criminal Minds - (2005 - 2020),Criminal Minds,(2005 - 2020),8.1,"Crime, Drama, Mystery",Unavailable,"Matthew Gray Gubl, Kirsten Vangsn, A.J. Cook, Joe Mantegn","Crime, Drama, Mystery, Unavailable, Matthew Gray Gubl, Kirsten Vangsn, A.J. Cook, Joe Mantegn"
28,The Handmaid's Tale - (2017 -  ),The Handmaid's Tale,(2017 -  ),8.5,"Drama, Sci-Fi, Thriller",Unavailable,"Elisabeth M, Amanda Brugel, Madeline Brew, Max Minghell","Drama, Sci-Fi, Thriller, Unavailable, Elisabeth M, Amanda Brugel, Madeline Brew, Max Minghell"
29,Peaky Blinders - (2013 -  ),Peaky Blinders,(2013 -  ),8.8,"Crime, Drama",Unavailable,"Cillian Murphy, Paul Anderson, Helen McCrory, phie Rundl","Crime, Drama, Unavailable, Cillian Murphy, Paul Anderson, Helen McCrory, phie Rundl"
30,Space Force - (2020 -  ),Space Force,(2020 -  ),6.8,Comedy,Unavailable,"ve Carell, John Malkovich, Ben Schwartz, na Silv","Comedy, Unavailable, ve Carell, John Malkovich, Ben Schwartz, na Silv"
31,Stranger Things - (2016 -  ),Stranger Things,(2016 -  ),8.8,"Drama, Fantasy, Horror",Unavailable,"Millie Bobby Brown, Finn Wolfhard, Winona Ryd, vid Harbou","Drama, Fantasy, Horror, Unavailable, Millie Bobby Brown, Finn Wolfhard, Winona Ryd, vid Harbou"
32,Marcella - (2016 -  ),Marcella,(2016 -  ),7.4,"Crime, Drama, Mystery",Unavailable,"Anna Friel, Ray Panthak, Jack Doolan, Jamie Bamb","Crime, Drama, Mystery, Unavailable, Anna Friel, Ray Panthak, Jack Doolan, Jamie Bamb"
33,The Last Kingdom - (2015 -  ),The Last Kingdom,(2015 -  ),8.4,"Action, Drama, History",Unavailable,"Alexander Dreymon, Eliza Butterworth, Ian H, Arnas Fedaraviciu","Action, Drama, History, Unavailable, Alexander Dreymon, Eliza Butterworth, Ian H, Arnas Fedaraviciu"
34,Agents of S.H.I.E.L.D. - (2013 - 2020),Agents of S.H.I.E.L.D.,(2013 - 2020),7.5,"Action, Adventure, Drama",Unavailable,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caesteck","Action, Adventure, Drama, Unavailable, Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caesteck"
35,The Boys - (2019 -  ),The Boys,(2019 -  ),8.7,"Action, Comedy, Crime",Unavailable,"Karl Urban, Jack Quaid, Antony, Erin Moriarty","Action, Comedy, Crime, Unavailable, Karl Urban, Jack Quaid, Antony, Erin Moriarty"
36,Cursed - (2020 -  ),Cursed,(2020 -  ),,"Adventure, Drama, Fantasy",Unavailable,"Katherine Langford, von Terrell, Gustaf Skarsgård, bastian Arm","Adventure, Drama, Fantasy, Unavailable, Katherine Langford, von Terrell, Gustaf Skarsgård, bastian Arm"
37,Rick and Morty - (2013 -  ),Rick and Morty,(2013 -  ),9.2,"Animation, Adventure, Comedy",Unavailable,"Justin Roiland, Chris Parnell, pencer Gramm, h Chalk","Animation, Adventure, Comedy, Unavailable, Justin Roiland, Chris Parnell, pencer Gramm, h Chalk"
38,Aarya - (2020 -  ),Aarya,(2020 -  ),8.1,"Crime, Drama, Thriller",Unavailable,"ushmita Sen, Jagdish Rajpuroh, Manish Chaudhary, Vikas Kum","Crime, Drama, Thriller, Unavailable, ushmita Sen, Jagdish Rajpuroh, Manish Chaudhary, Vikas Kum"
39,The Sopranos - (1999 - 2007),The Sopranos,(1999 - 2007),9.2,"Crime, Drama",Unavailable,"James Gandolfin, Lorraine B, Edie Fal, Michael Imperiol","Crime, Drama, Unavailable, James Gandolfin, Lorraine B, Edie Fal, Michael Imperiol"
40,The Big Bang Theory - (2007 - 2019),The Big Bang Theory,(2007 - 2019),8.1,"Comedy, Romance",Unavailable,"Johnny Galeck, Jim Parson, Kaley Cu, mon Helberg","Comedy, Romance, Unavailable, Johnny Galeck, Jim Parson, Kaley Cu, mon Helberg"
41,Brooklyn Nine-Nine - (2013 -  ),Brooklyn Nine-Nine,(2013 -  ),8.4,"Comedy, Crime",Unavailable,"Andy Samberg, phanie Beatriz, Terry Crew, Melissa Fum","Comedy, Crime, Unavailable, Andy Samberg, phanie Beatriz, Terry Crew, Melissa Fum"
42,Black Mirror - (2011 -  ),Black Mirror,(2011 -  ),8.8,"Drama, Sci-Fi, Thriller",Unavailable,"aniel Lapain, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jon","Drama, Sci-Fi, Thriller, Unavailable, aniel Lapain, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jon"
43,Schitt's Creek - (2015 - 2020),Schitt's Creek,(2015 - 2020),8.4,Comedy,Unavailable,"Eugene Levy, ""Catherine OH"", n Levy, Annie Murphy","Comedy, Unavailable, Eugene Levy, ""Catherine OH"", n Levy, Annie Murphy"
44,Outlander - (2014 -  ),Outlander,(2014 -  ),8.4,"Drama, Fantasy, Romance",Unavailable,"Caitriona Balf, m Heughan, uncan Lacroix, phie Skelton","Drama, Fantasy, Romance, Unavailable, Caitriona Balf, m Heughan, uncan Lacroix, phie Skelton"
45,Foundation - (2021 -  ),Foundation,(2021 -  ),,Sci-Fi,Unavailable,"Cassian Bilton, Laura Birn, Jared H, Leah Harvey","Sci-Fi, Unavailable, Cassian Bilton, Laura Birn, Jared H, Leah Harvey"
46,Westworld - (2016 -  ),Westworld,(2016 -  ),8.7,"Drama, Mystery, Sci-Fi",Unavailable,"Evan Rachel Wood, Jeffrey Wrigh, Ed H, Thandie Newton","Drama, Mystery, Sci-Fi, Unavailable, Evan Rachel Wood, Jeffrey Wrigh, Ed H, Thandie Newton"
47,Lost - (2004 - 2010),Lost,(2004 - 2010),8.3,"Adventure, Drama, Fantasy",Unavailable,"Jorge Ga, Josh Holloway, Yunjin Kim, Evangeline Lilly","Adventure, Drama, Fantasy, Unavailable, Jorge Ga, Josh Holloway, Yunjin Kim, Evangeline Lilly"
48,What We Do in the Shadows - (2019 -  ),What We Do in the Shadows,(2019 -  ),8.4,"Comedy, Fantasy, Horror",Unavailable,"Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén","Comedy, Fantasy, Horror, Unavailable, Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén"
49,Queen of the South - (2016 -  ),Queen of the South,(2016 -  ),7.9,"Action, Crime, Drama",Unavailable,"Alice Brag, Hemky Mad, Peter Gad, Veronica Falcón","Action, Crime, Drama, Unavailable, Alice Brag, Hemky Mad, Peter Gad, Veronica Falcón"
50,Better Call Saul - (2015 -  ),Better Call Saul,(2015 -  ),8.7,"Crime, Drama",Unavailable,"Bob Odenkirk, Rhea Seehorn, Jonathan Bank, Patrick Fabian","Crime, Drama, Unavailable, Bob Odenkirk, Rhea Seehorn, Jonathan Bank, Patrick Fabian"
51,The Mandalorian - (2019 -  ),The Mandalorian,(2019 -  ),8.7,"Action, Adventure, Sci-Fi",Unavailable,"Pedro Pascal, Carl Weath, Rio Hackford, Gina Caran","Action, Adventure, Sci-Fi, Unavailable, Pedro Pascal, Carl Weath, Rio Hackford, Gina Caran"
52,Homeland - (2011 - 2020),Homeland,(2011 - 2020),8.3,"Crime, Drama, Mystery",Unavailable,"Claire Dan, Mandy Patinkin, mian Lew, Rupert Friend","Crime, Drama, Mystery, Unavailable, Claire Dan, Mandy Patinkin, mian Lew, Rupert Friend"
53,Parks and Recreation - (2009 - 2020),Parks and Recreation,(2009 - 2020),8.6,Comedy,Unavailable,"Amy Poehl, ""Jim OH"", Nick Offerman, Chris P","Comedy, Unavailable, Amy Poehl, ""Jim OH"", Nick Offerman, Chris P"
54,The Great - (2020 -  ),The Great,(2020 -  ),8.1,"Biography, Comedy, Drama",Unavailable,"Elle Fanning, Nicholas Houl, Phoebe Fox, ha Dhawan","Biography, Comedy, Drama, Unavailable, Elle Fanning, Nicholas Houl, Phoebe Fox, ha Dhawan"
55,The Blacklist - (2013 -  ),The Blacklist,(2013 -  ),8.0,"Crime, Drama, Mystery",Unavailable,"James Spad, Megan Boon, go Klattenhoff, Ryan Eggold","Crime, Drama, Mystery, Unavailable, James Spad, Megan Boon, go Klattenhoff, Ryan Eggold"
56,How to Get Away with Murder - (2014 - 2020),How to Get Away with Murder,(2014 - 2020),8.1,"Crime, Drama, Mystery",Unavailable,"Viola Dav, Billy Brown, Jack Falah, Aja Naomi King","Crime, Drama, Mystery, Unavailable, Viola Dav, Billy Brown, Jack Falah, Aja Naomi King"
57,Sons of Anarchy - (2008 - 2014),Sons of Anarchy,(2008 - 2014),8.6,"Crime, Drama, Thriller",Unavailable,"Charlie Hunnam, Katey Sagal, Mark Boone Jun, Kim C","Crime, Drama, Thriller, Unavailable, Charlie Hunnam, Katey Sagal, Mark Boone Jun, Kim C"
58,American Horror Story - (2011 -  ),American Horror Story,(2011 -  ),8.0,"Drama, Horror, Thriller",Unavailable,"Lady Gag, Kathy B, Angela B, h Paulson","Drama, Horror, Thriller, Unavailable, Lady Gag, Kathy B, Angela B, h Paulson"
59,Law & Order: Special Victims Unit - (1999 -  ),Law & Order: Special Victims Unit,(1999 -  ),8.0,"Crime, Drama, Mystery",Unavailable,"Mariska Hargitay, Christopher Melon, Ice-T, nn Florek","Crime, Drama, Mystery, Unavailable, Mariska Hargitay, Christopher Melon, Ice-T, nn Florek"
60,Stargirl - (2020 -  ),Stargirl,(2020 -  ),7.3,"Action, Adventure, Crime",Unavailable,"Brec Bassing, Yvette Monreal, Anjelika Washington, Trae Roman","Action, Adventure, Crime, Unavailable, Brec Bassing, Yvette Monreal, Anjelika Washington, Trae Roman"
61,New Girl - (2011 - 2018),New Girl,(2011 - 2018),7.7,Comedy,Unavailable,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simon","Comedy, Unavailable, Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simon"
62,F Is for Family - (2015 -  ),F Is for Family,(2015 -  ),8.0,"Animation, Comedy, Drama",Unavailable,"Bill Bu, Laura Dern, Justin Long, bi Derryberry","Animation, Comedy, Drama, Unavailable, Bill Bu, Laura Dern, Justin Long, bi Derryberry"
63,NCIS - (2003 -  ),NCIS,(2003 -  ),7.8,"Action, Crime, Drama",Unavailable,"Mark Harmon, vid McCallum, an Murray, Pauley P","Action, Crime, Drama, Unavailable, Mark Harmon, vid McCallum, an Murray, Pauley P"
64,Penny Dreadful: City of Angels - (2020 -  ),Penny Dreadful: City of Angels,(2020 -  ),6.1,"Crime, Drama, Fantasy",Unavailable,"Natalie Dorm, niel Zov, Kerry Bishé, Adriana Barraz","Crime, Drama, Fantasy, Unavailable, Natalie Dorm, niel Zov, Kerry Bishé, Adriana Barraz"
65,The Wire - (2002 - 2008),The Wire,(2002 - 2008),9.3,"Crime, Drama, Thriller",Unavailable,"minic W, Lance Reddick, nja Sohn, Wendell P","Crime, Drama, Thriller, Unavailable, minic W, Lance Reddick, nja Sohn, Wendell P"
66,Warrior Nun - (2020 -  ),Warrior Nun,(2020 -  ),6.8,"Action, Drama, Fantasy",Unavailable,"Alba Bap, Toya Turn, Kristina Tonteri-Young, Lorena And","Action, Drama, Fantasy, Unavailable, Alba Bap, Toya Turn, Kristina Tonteri-Young, Lorena And"
67,The Flash - (2014 -  ),The Flash,(2014 -  ),7.7,"Action, Adventure, Drama",Unavailable,"Grant Gustin, Candice Patton, nielle Panabak, Carlos Vald","Action, Adventure, Drama, Unavailable, Grant Gustin, Candice Patton, nielle Panabak, Carlos Vald"
68,Dead to Me - (2019 -  ),Dead to Me,(2019 -  ),8.1,"Comedy, Drama",Unavailable,"Christina Appleg, Linda Cardellin, m McCarthy, Luke Roessl","Comedy, Drama, Unavailable, Christina Appleg, Linda Cardellin, m McCarthy, Luke Roessl"
69,Killing Eve - (2018 -  ),Killing Eve,(2018 -  ),8.3,"Action, Adventure, Drama",Unavailable,"Jodie Com, ndra Oh, Fiona Shaw, Kim Bodn","Action, Adventure, Drama, Unavailable, Jodie Com, ndra Oh, Fiona Shaw, Kim Bodn"
70,Doctor Who - (2005 -  ),Doctor Who,(2005 -  ),8.6,"Adventure, Drama, Family",Unavailable,"Jodie Whittak, Peter Capald, Pearl Mack, Matt Smith","Adventure, Drama, Family, Unavailable, Jodie Whittak, Peter Capald, Pearl Mack, Matt Smith"
71,Buffy the Vampire Slayer - (1997 - 2003),Buffy the Vampire Slayer,(1997 - 2003),8.2,"Action, Drama, Fantasy",Unavailable,"h Michelle Gell, Nicholas Brendon, Alyson Hannigan, Anthony Head","Action, Drama, Fantasy, Unavailable, h Michelle Gell, Nicholas Brendon, Alyson Hannigan, Anthony Head"
72,Prison Break - (2005 - 2017),Prison Break,(2005 - 2017),8.3,"Action, Crime, Drama",Unavailable,"minic Purcell, Wentworth Mill, Amaury Nol, Robert Knepp","Action, Crime, Drama, Unavailable, minic Purcell, Wentworth Mill, Amaury Nol, Robert Knepp"
73,Sweet Magnolias - (2020 -  ),Sweet Magnolias,(2020 -  ),7.4,"Drama, Romance",Unavailable,"JoAnna Garcia Swish, Brooke Ell, Heather Headley, Logan Allen","Drama, Romance, Unavailable, JoAnna Garcia Swish, Brooke Ell, Heather Headley, Logan Allen"
74,Fargo - (2014 -  ),Fargo,(2014 -  ),8.9,"Crime, Drama, Thriller",Unavailable,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hank","Crime, Drama, Thriller, Unavailable, Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hank"
75,Midsomer Murders - (1997 -  ),Midsomer Murders,(1997 -  ),7.7,"Crime, Drama, Mystery",Unavailable,"John Nettl, Jane Wymark, Barry Jackson, Jason Hugh","Crime, Drama, Mystery, Unavailable, John Nettl, Jane Wymark, Barry Jackson, Jason Hugh"
76,The Vampire Diaries - (2009 - 2017),The Vampire Diaries,(2009 - 2017),7.7,"Drama, Fantasy, Horror",Unavailable,"Nina Dobrev, Paul Wesley, Ian Somerhald, Kat Graham","Drama, Fantasy, Horror, Unavailable, Nina Dobrev, Paul Wesley, Ian Somerhald, Kat Graham"
77,Normal People - 2020,Normal People,2020,8.6,"Drama, Romance",Unavailable,"aisy Edgar-Jon, Paul Mescal, mond Eastwood, Aislín McGuckin","Drama, Romance, Unavailable, aisy Edgar-Jon, Paul Mescal, mond Eastwood, Aislín McGuckin"
78,Shameless - (2011 -  ),Shameless,(2011 -  ),8.6,"Comedy, Drama",Unavailable,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen Wh","Comedy, Drama, Unavailable, Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen Wh"
79,The Twilight Zone - (2019 -  ),The Twilight Zone,(2019 -  ),5.7,"Drama, Fantasy, Horror",Unavailable,"Jordan Peel, vid Epstein, Kelly Ann Wood, Mark Silverman","Drama, Fantasy, Horror, Unavailable, Jordan Peel, vid Epstein, Kelly Ann Wood, Mark Silverman"
80,House - (2004 - 2012),House,(2004 - 2012),8.7,"Drama, Mystery",Unavailable,"Hugh Lau, Omar Epp, Robert Sean Leonard, Jesse Spen","Drama, Mystery, Unavailable, Hugh Lau, Omar Epp, Robert Sean Leonard, Jesse Spen"
81,The Witcher - (2019 -  ),The Witcher,(2019 -  ),8.3,"Action, Adventure, Fantasy",Unavailable,"Henry Cavill, Freya Allan, Anya Chal, Mimi Ndiwen","Action, Adventure, Fantasy, Unavailable, Henry Cavill, Freya Allan, Anya Chal, Mimi Ndiwen"
82,How I Met Your Mother - (2005 - 2014),How I Met Your Mother,(2005 - 2014),8.3,"Comedy, Romance",Unavailable,"Josh Radn, Jason Segel, Cobie Smuld, Neil Patrick H","Comedy, Romance, Unavailable, Josh Radn, Jason Segel, Cobie Smuld, Neil Patrick H"
83,Downton Abbey - (2010 - 2015),Downton Abbey,(2010 - 2015),8.7,"Drama, Romance",Unavailable,"Hugh Bonnevill, Phyllis Logan, Elizabeth McGovern, Brendan Coyl","Drama, Romance, Unavailable, Hugh Bonnevill, Phyllis Logan, Elizabeth McGovern, Brendan Coyl"
84,The Umbrella Academy - (2019 -  ),The Umbrella Academy,(2019 -  ),7.9,"Action, Adventure, Comedy",Unavailable,"Ellen Pag, Tom Hopp, vid Castañed, Emmy Raver-Lampman","Action, Adventure, Comedy, Unavailable, Ellen Pag, Tom Hopp, vid Castañed, Emmy Raver-Lampman"
85,Outer Banks - (2020 -  ),Outer Banks,(2020 -  ),7.6,"Action, Crime, Drama",Unavailable,"Chase Stok, Madelyn Clin, Madison Bailey, Jonathan Dav","Action, Crime, Drama, Unavailable, Chase Stok, Madelyn Clin, Madison Bailey, Jonathan Dav"
86,Riverdale - (2017 -  ),Riverdale,(2017 -  ),7.0,"Crime, Drama, Mystery",Unavailable,"K.J. Ap, Lili Reinh, Camila Mend, Cole Sprou","Crime, Drama, Mystery, Unavailable, K.J. Ap, Lili Reinh, Camila Mend, Cole Sprou"
87,It's Always Sunny in Philadelphia - (2005 -  ),It's Always Sunny in Philadelphia,(2005 -  ),8.8,Comedy,Unavailable,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson","Comedy, Unavailable, Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson"
88,Dexter - (2006 - 2013),Dexter,(2006 - 2013),8.6,"Crime, Drama, Mystery",Unavailable,"Michael C. Hall, Jennifer Carpen, vid Zay, James Rem","Crime, Drama, Mystery, Unavailable, Michael C. Hall, Jennifer Carpen, vid Zay, James Rem"
89,Suits - (2011 - 2019),Suits,(2011 - 2019),8.5,"Comedy, Drama",Unavailable,"Gabriel Mach, Patrick J. Adam, Meghan Markl, h Rafferty","Comedy, Drama, Unavailable, Gabriel Mach, Patrick J. Adam, Meghan Markl, h Rafferty"
90,Star Trek: The Next Generation - (1987 - 1994),Star Trek: The Next Generation,(1987 - 1994),8.6,"Action, Adventure, Mystery",Unavailable,"Patrick Stew, Brent Spin, Jonathan Frak, LeVar Burton","Action, Adventure, Mystery, Unavailable, Patrick Stew, Brent Spin, Jonathan Frak, LeVar Burton"
91,Arrow - (2012 - 2020),Arrow,(2012 - 2020),7.6,"Action, Adventure, Crime",Unavailable,"phen Amell, Katie Cassidy, vid Ramsey, usanna Thompson","Action, Adventure, Crime, Unavailable, phen Amell, Katie Cassidy, vid Ramsey, usanna Thompson"
92,True Detective - (2014 -  ),True Detective,(2014 -  ),9.0,"Crime, Drama, Mystery",Unavailable,"Vince Vaughn, Colin Farrell, Rachel McAdam, Taylor Kitsch","Crime, Drama, Mystery, Unavailable, Vince Vaughn, Colin Farrell, Rachel McAdam, Taylor Kitsch"
93,Las Vegas - (2003 - 2008),Las Vegas,(2003 - 2008),7.4,"Crime, Drama",Unavailable,"Josh Duhamel, James Caan, James Lesu, Vanessa Marcil","Crime, Drama, Unavailable, Josh Duhamel, James Caan, James Lesu, Vanessa Marcil"
94,Bones - (2005 - 2017),Bones,(2005 - 2017),7.8,"Comedy, Crime, Drama",Unavailable,"Emily Deschanel, vid Boreanaz, Michaela Conlin, T.J. Thyn","Comedy, Crime, Drama, Unavailable, Emily Deschanel, vid Boreanaz, Michaela Conlin, T.J. Thyn"
95,This Is Us - (2016 -  ),This Is Us,(2016 -  ),8.7,"Comedy, Drama, Romance",Unavailable,"Milo Ventimigl, Mandy M, ling K. Brown, Chrissy Metz","Comedy, Drama, Romance, Unavailable, Milo Ventimigl, Mandy M, ling K. Brown, Chrissy Metz"
96,Succession - (2018 -  ),Succession,(2018 -  ),8.5,Drama,Unavailable,"Hiam Abb, Nicholas Braun, Brian Cox, Kieran Culkin","Drama, Unavailable, Hiam Abb, Nicholas Braun, Brian Cox, Kieran Culkin"
97,The Simpsons - (1989 -  ),The Simpsons,(1989 -  ),8.7,"Animation, Comedy",Unavailable,"an Castellan, Nancy Cartwrigh, Harry Sh, Julie Kavn","Animation, Comedy, Unavailable, an Castellan, Nancy Cartwrigh, Harry Sh, Julie Kavn"
98,"Roswell, New Mexico - (2019 -  )","Roswell, New Mexico",(2019 -  ),6.2,"Drama, Romance, Sci-Fi",Unavailable,"Jeanine Mason, Nathan Parson, Michael Vlam, Lily Cowl","Drama, Romance, Sci-Fi, Unavailable, Jeanine Mason, Nathan Parson, Michael Vlam, Lily Cowl"
